last_name,postnom,first_name,date_of_birth,gender,registration_number,classroom,email,notes
Kakudji,Lukusa,Junior,2009-02-02,M,MAL-IMPORT-2026-0001,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mbayo,Nkongolo,Noella,2010-03-03,F,MAL-IMPORT-2026-0002,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mutombo,Lukusa,Gloire,2011-04-04,M,MAL-IMPORT-2026-0003,"3e primaire A",,"Import test dossier eleve MALUNGA"
Tshibangu,Nkongolo,Grace,2012-05-05,F,MAL-IMPORT-2026-0004,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mwamba,Kitenge,Kevin,2013-06-06,M,MAL-IMPORT-2026-0005,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Lwamba,Kabasele,Noella,2014-07-07,F,MAL-IMPORT-2026-0006,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Kakudji,Prince,2015-08-08,M,MAL-IMPORT-2026-0007,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kakudji,Kalonji,Marie,2016-09-09,F,MAL-IMPORT-2026-0008,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mbayo,Nkongolo,Eric,2017-10-10,M,MAL-IMPORT-2026-0009,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Nkongolo,Mwamba,Merveille,2018-11-11,F,MAL-IMPORT-2026-0010,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kakudji,Kabasele,Albert,2019-12-12,M,MAL-IMPORT-2026-0011,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kabongo,Ndaya,Noella,2008-01-13,F,MAL-IMPORT-2026-0012,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kabila,Mbuyi,Joseph,2009-02-14,M,MAL-IMPORT-2026-0013,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mutombo,Kabasele,Naomie,2010-03-15,F,MAL-IMPORT-2026-0014,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
